Price Date,Modal Price (Rs./Quintal)
2012-03-12,2900.0
2012-03-13,2855.8823529411766
2012-03-14,2811.764705882353
2012-03-15,2767.6470588235293
2012-03-16,2723.529411764706
2012-03-17,2679.4117647058824
2012-03-18,2635.294117647059
2012-03-19,2591.176470588235
2012-03-20,2547.0588235294117
2012-03-21,2502.9411764705883
2012-03-22,2458.823529411765
2012-03-23,2414.705882352941
2012-03-24,2370.5882352941176
2012-03-25,2326.470588235294
2012-03-26,2282.3529411764707
2012-03-27,2238.235294117647
2012-03-28,2194.1176470588234
2012-03-29,2150.0
2012-03-30,2337.5
2012-03-31,2525.0
2012-04-01,2712.5
2012-04-02,2900.0
2012-04-03,2900.0
2012-04-04,2900.0
2012-04-05,2900.0
2012-04-06,2900.0
2012-04-07,2900.0
2012-04-08,2900.0
2012-04-09,2900.0
2012-04-10,2900.0
2012-04-11,2900.0
2012-04-12,2900.0
2012-04-13,2900.0
2012-04-14,2900.0
2012-04-15,2900.0
2012-04-16,2900.0
2012-04-17,2900.0
2012-04-18,2900.0
2012-04-19,2900.0
2012-04-20,2900.0
2012-04-21,2900.0
2012-04-22,2900.0
2012-04-23,2900.0
2012-04-24,2900.0
2012-04-25,2900.0
2012-04-26,2900.0
2012-04-27,2900.0
2012-04-28,2900.0
2012-04-29,2900.0
2012-04-30,2900.0
2012-05-01,2900.0
2012-05-02,2900.0
2012-05-03,2900.0
2012-05-04,2900.0
2012-05-05,2900.0
2012-05-06,2900.0
2012-05-07,2900.0
2012-05-08,2900.0
2012-05-09,2900.0
2012-05-10,2900.0
2012-05-11,2900.0
2012-05-12,2900.0
2012-05-13,2900.0
2012-05-14,2900.0
2012-05-15,2900.0
2012-05-16,2900.0
2012-05-17,2900.0
2012-05-18,2900.0
2012-05-19,2900.0
2012-05-20,2900.0
2012-05-21,2900.0
2012-05-22,2900.0
2012-05-23,2900.0
2012-05-24,2900.0
2012-05-25,2900.0
2012-05-26,2900.0
2012-05-27,2900.0
2012-05-28,2900.0
2012-05-29,2900.0
2012-05-30,2900.0
2012-05-31,2900.0
2012-06-01,2900.0
2012-06-02,2900.0
2012-06-03,2900.0
2012-06-04,2900.0
2012-06-05,2900.0
2012-06-06,2900.0
2012-06-07,2900.0
2012-06-08,2900.0
2012-06-09,2900.0
2012-06-10,2900.0
2012-06-11,2900.0
2012-06-12,2900.0
