Price Date,Modal Price (Rs./Quintal)
2010-08-31,1808.322325217971
2010-09-01,1717.3633703508624
2010-09-02,1713.5014417564432
2010-09-03,1713.5014417562838
2010-09-04,1717.3633703504156
2010-09-05,1724.3223252173252
2010-09-06,1732.9999999996403
2010-09-07,1741.677674782027
2010-09-08,1748.636629649136
2010-09-09,1752.4985582435563
2010-09-10,1752.4985582437168
2010-09-11,1748.636629649586
2010-09-12,1741.677674782677
2010-09-13,1733.000000000362
2010-09-14,1724.3223252179753
2010-09-15,1717.3633703508656
2010-09-16,1713.5014417564444
2010-09-17,1713.5014417562827
2010-09-18,1717.3633703504129
2010-09-19,1724.322325217321
2010-09-20,1732.9999999996355
2010-09-21,1741.6776747820225
2010-09-22,1748.6366296491328
2010-09-23,1752.4985582435552
2010-09-24,1719.498558243718
2010-09-25,1715.636629649589
2010-09-26,1708.6776747826816
2010-09-27,1700.000000000367
2010-09-28,1691.3223252179798
2010-09-29,1684.3633703508688
2010-09-30,1680.5014417564455
2010-10-01,1680.5014417562816
2010-10-02,1684.3633703504097
2010-10-03,1691.322325217316
2010-10-04,1699.9999999996303
2010-10-05,1708.677674782018
2010-10-06,1715.63662964913
2010-10-07,1719.498558243554
2010-10-08,1719.4985582437191
2010-10-09,1715.636629649592
2010-10-10,1708.677674782686
2010-10-11,1700.000000000372
2010-10-12,1691.3223252179844
2010-10-13,1684.3633703508715
2010-10-14,1680.5014417564466
2010-10-15,1680.5014417562804
2010-10-16,1684.3633703504065
2010-10-17,1691.3223252173118
2010-10-18,1699.9999999996255
2010-10-19,1708.6776747820134
2010-10-20,1715.6366296491267
2010-10-21,1719.498558243553
2010-10-22,1719.49855824372
2010-10-23,1715.6366296495953
2010-10-24,1708.6776747826905
2010-10-25,1700.000000000377
2010-10-26,1841.322325217989
2010-10-27,1834.363370350875
2010-10-28,1830.5014417564475
2010-10-29,1830.5014417562795
2010-10-30,1801.03003701707
2010-10-31,1774.6556585506405
2010-11-01,1749.9999999996205
2010-11-02,1758.677674782009
2010-11-03,1765.6366296491235
2010-11-04,1769.4985582435518
2010-11-05,1769.4985582437212
2010-11-06,1765.6366296495985
2010-11-07,1758.677674782695
2010-11-08,1750.000000000382
2010-11-09,1741.3223252179932
2010-11-10,1734.363370350878
2010-11-11,1730.501441756449
2010-11-12,1730.5014417562782
2010-11-13,1734.3633703504
2010-11-14,1741.3223252173027
2010-11-15,1749.9999999996155
2010-11-16,1758.6776747820045
2010-11-17,1765.6366296491206
2010-11-18,1769.4985582435506
2010-11-19,1769.4985582437223
2010-11-20,1757.3032963162682
2010-11-21,1742.0110081160328
2010-11-22,1725.000000000387
2010-11-23,1741.3223252179978
2010-11-24,1734.363370350881
2010-11-25,1730.5014417564498
2010-11-26,1730.501441756277
2010-11-27,1734.363370350397
2010-11-28,1741.3223252172984
2010-11-29,1749.9999999996105
2010-11-30,1483.677674782
2010-12-01,1490.6366296491174
2010-12-02,1569.4985582435495
2010-12-03,1569.4985582437234
2010-12-04,1565.6366296496044
2010-12-05,1558.677674782704
2010-12-06,1550.000000000392
2010-12-07,1641.3223252180023
2010-12-08,1634.3633703508842
2010-12-09,1630.501441756451
2010-12-10,1630.501441756276
2010-12-11,1634.363370350394
2010-12-12,1641.3223252172938
2010-12-13,1649.9999999996055
2010-12-14,1758.6776747819954
2010-12-15,1765.6366296491142
2010-12-16,1769.4985582435484
2010-12-17,1769.4985582437246
2010-12-18,1765.6366296496076
2010-12-19,1758.6776747827084
2010-12-20,1750.000000000397
2010-12-21,1741.3223252180069
2010-12-22,1734.3633703508874
2010-12-23,1730.501441756452
2010-12-24,1730.501441756275
2010-12-25,1734.3633703503908
2010-12-26,1741.3223252172893
2010-12-27,1749.9999999996005
2010-12-28,1758.677674781991
2010-12-29,1765.6366296491112
2010-12-30,1769.4985582435474
2010-12-31,1769.4985582437257
2011-01-01,1765.6366296496108
2011-01-02,1758.677674782713
2011-01-03,1750.0000000004018
2011-01-04,1741.3223252180112
2011-01-05,1734.3633703508904
2011-01-06,1730.5014417564532
2011-01-07,1580.5014417562738
2011-01-08,1584.3633703503876
2011-01-09,1591.3223252172847
2011-01-10,1599.9999999995955
2011-01-11,1558.6776747819863
2011-01-12,1565.636629649108
2011-01-13,1569.4985582435463
2011-01-14,1569.4985582437268
2011-01-15,1598.969962982947
2011-01-16,1625.344341449384
2011-01-17,1650.0000000004068
2011-01-18,1641.3223252180155
2011-01-19,1634.3633703508935
2011-01-20,1630.5014417564544
2011-01-21,1630.5014417562727
2011-01-22,1609.363370350385
2011-01-23,1591.3223252172804
2011-01-24,1574.9999999995907
2011-01-25,1583.677674781982
2011-01-26,1590.6366296491049
2011-01-27,1594.4985582435452
2011-01-28,1569.498558243728
2011-01-29,1573.9699629829502
2011-01-30,1575.3443414493886
2011-01-31,1575.0000000004118
2011-02-01,1566.3223252180203
2011-02-02,1559.3633703508967
2011-02-03,1555.5014417564555
2011-02-04,1555.5014417562716
2011-02-05,1559.3633703503815
2011-02-06,1566.322325217276
2011-02-07,1574.9999999995855
2011-02-08,1808.6776747819777
2011-02-09,1815.636629649102
2011-02-10,1819.498558243544
2011-02-11,1819.498558243729
2011-02-12,1798.9699629829531
2011-02-13,1775.3443414493931
2011-02-14,1750.0000000004168
2011-02-15,1541.3223252180246
2011-02-16,1584.3633703508997
2011-02-17,1630.5014417564564
2011-02-18,1630.5014417562704
2011-02-19,1634.3633703503783
2011-02-20,1641.322325217271
2011-02-21,1649.9999999995807
2011-02-22,1583.677674781973
2011-02-23,1590.6366296490987
2011-02-24,1594.498558243543
2011-02-25,1669.49855824373
2011-02-26,1665.636629649623
2011-02-27,1658.677674782731
2011-02-28,1650.0000000004218
2011-03-01,1666.3223252180292
2011-03-02,1659.3633703509029
2011-03-03,1655.5014417564576
2011-03-04,1655.5014417562693
2011-03-05,1651.030037017042
2011-03-06,1649.6556585506
2011-03-07,1649.9999999995755
2011-03-08,1658.6776747819686
2011-03-09,1665.6366296490955
2011-03-10,1669.4985582435418
2011-03-11,1669.4985582437312
