Price Date,Modal Price (Rs./Quintal)
2014-12-31,2452.0
2015-01-01,1960.0
2015-01-02,2732.0
2015-01-03,3030.0
2015-01-04,2890.0
2015-01-05,2750.0
2015-01-06,2497.0
2015-01-07,2150.0
2015-01-08,3300.0
2015-01-09,2950.0
2015-01-10,3801.0
2015-01-11,3350.5
2015-01-12,2900.0
2015-01-12,2900.0
2015-01-13,3105.0
2015-01-13,3105.0
2015-01-14,2335.0
2015-01-14,2335.0
2015-01-15,2729.0
2015-01-15,2729.0
2015-01-16,3815.0
2015-01-16,3815.0
2015-01-17,3795.478260869565
2015-01-18,3775.9565217391305
2015-01-19,3756.4347826086955
2015-01-20,3736.913043478261
2015-01-21,3717.391304347826
2015-01-22,3697.8695652173915
2015-01-23,3678.3478260869565
2015-01-24,3658.826086956522
2015-01-25,3639.304347826087
2015-01-26,3619.782608695652
2015-01-27,3600.2608695652175
2015-01-28,3580.7391304347825
2015-01-29,3561.217391304348
2015-01-30,3541.695652173913
2015-01-31,3522.173913043478
2015-02-01,3502.6521739130435
2015-02-02,3483.130434782609
2015-02-03,3463.608695652174
2015-02-04,3444.086956521739
2015-02-05,3424.5652173913045
2015-02-06,3405.0434782608695
2015-02-07,3385.521739130435
2015-02-08,3366.0
2015-02-09,3346.478260869565
2015-02-10,3326.9565217391305
2015-02-11,3307.4347826086955
2015-02-12,3287.913043478261
2015-02-13,3268.391304347826
2015-02-14,3248.8695652173915
2015-02-15,3229.3478260869565
2015-02-16,3209.826086956522
2015-02-17,3190.304347826087
2015-02-18,3170.782608695652
2015-02-19,3151.2608695652175
2015-02-20,3131.7391304347825
2015-02-21,3112.217391304348
2015-02-22,3092.695652173913
2015-02-23,3073.173913043478
2015-02-24,3053.6521739130435
2015-02-25,3034.130434782609
2015-02-26,3014.608695652174
2015-02-27,2995.086956521739
2015-02-28,2975.5652173913045
2015-03-01,2956.0434782608695
2015-03-02,2936.521739130435
2015-03-03,2917.0
2015-03-04,2925.0
2015-03-05,2490.0
2015-03-06,2991.0
2015-03-07,3676.0
2015-03-08,3227.3333333333335
2015-03-09,2778.6666666666665
2015-03-10,2330.0
2015-03-11,2348.0
2015-03-12,3088.0
2015-03-13,2537.0
2015-03-14,2372.0
2015-03-15,2308.0
2015-03-16,2511.0
2015-03-17,2714.0
2015-03-18,2917.0
2015-03-19,2895.9545454545455
2015-03-20,2874.909090909091
2015-03-21,2853.8636363636365
2015-03-22,2832.818181818182
2015-03-23,2811.7727272727275
2015-03-24,2790.7272727272725
2015-03-25,2769.681818181818
2015-03-26,2748.6363636363635
2015-03-27,2727.590909090909
2015-03-28,2706.5454545454545
2015-03-29,2685.5
2015-03-30,2664.4545454545455
2015-03-31,2643.409090909091
2015-04-01,2622.3636363636365
2015-04-02,2601.318181818182
2015-04-03,2580.272727272727
2015-04-04,2559.2272727272725
2015-04-05,2538.181818181818
2015-04-06,2517.1363636363635
2015-04-07,2496.090909090909
2015-04-08,2475.0454545454545
2015-04-09,2454.0
2015-04-10,2432.9545454545455
2015-04-11,2411.909090909091
2015-04-12,2390.8636363636365
2015-04-13,2369.818181818182
2015-04-14,2348.772727272727
2015-04-15,2327.727272727273
2015-04-16,2306.681818181818
2015-04-17,2285.6363636363635
2015-04-18,2264.590909090909
2015-04-19,2243.5454545454545
2015-04-20,2222.5
2015-04-21,2201.4545454545455
2015-04-22,2180.409090909091
2015-04-23,2159.363636363636
2015-04-24,2138.318181818182
2015-04-25,2117.272727272727
2015-04-26,2096.2272727272725
2015-04-27,2075.181818181818
2015-04-28,2054.1363636363635
2015-04-29,2033.090909090909
2015-04-30,2012.0454545454545
2015-05-01,1991.0
2015-05-02,2118.0
2015-05-03,2644.0
2015-05-04,3170.0
2015-05-05,2187.0
2015-05-06,1971.0
2015-05-07,2934.0
2015-05-08,2710.5
2015-05-09,2487.0
2015-05-10,2401.3333333333335
2015-05-11,2315.6666666666665
2015-05-12,2230.0
2015-05-13,2414.0
2015-05-14,2651.25
2015-05-15,2888.5
2015-05-16,3125.75
