Price Date,Modal Price (Rs./Quintal)
2015-12-08,4500.0
2015-12-09,4418.75
2015-12-10,4337.5
2015-12-11,4256.25
2015-12-12,4175.0
2015-12-13,4093.75
2015-12-14,4012.5
2015-12-15,3931.25
2015-12-16,3850.0
2015-12-17,3813.0434782608695
2015-12-18,3776.086956521739
2015-12-19,3739.1304347826085
2015-12-20,3702.173913043478
2015-12-21,3665.217391304348
2015-12-22,3628.2608695652175
2015-12-23,3591.304347826087
2015-12-24,3554.3478260869565
2015-12-25,3517.391304347826
2015-12-26,3480.4347826086955
2015-12-27,3443.478260869565
2015-12-28,3406.521739130435
2015-12-29,3369.5652173913045
2015-12-30,3332.608695652174
2015-12-31,3295.6521739130435
2016-01-01,3258.695652173913
2016-01-02,3221.7391304347825
2016-01-03,3184.782608695652
2016-01-04,3147.826086956522
2016-01-05,3110.869565217391
2016-01-06,3073.913043478261
2016-01-07,3036.9565217391305
2016-01-08,3000.0
2016-01-09,2986.842105263158
2016-01-10,2973.684210526316
2016-01-11,2960.5263157894738
2016-01-12,2947.3684210526317
2016-01-13,2934.2105263157896
2016-01-14,2921.0526315789475
2016-01-15,2907.8947368421054
2016-01-16,2894.7368421052633
2016-01-17,2881.5789473684213
2016-01-18,2868.421052631579
2016-01-19,2855.2631578947367
2016-01-20,2842.1052631578946
2016-01-21,2828.9473684210525
2016-01-22,2815.7894736842104
2016-01-23,2802.6315789473683
2016-01-24,2789.4736842105262
2016-01-25,2776.315789473684
2016-01-26,2763.157894736842
2016-01-27,2750.0
2016-01-28,2736.842105263158
2016-01-29,2723.684210526316
2016-01-30,2710.5263157894738
2016-01-31,2697.3684210526317
2016-02-01,2684.2105263157896
2016-02-02,2671.0526315789475
2016-02-03,2657.8947368421054
2016-02-04,2644.7368421052633
2016-02-05,2631.5789473684213
2016-02-06,2618.421052631579
2016-02-07,2605.2631578947367
2016-02-08,2592.1052631578946
2016-02-09,2578.9473684210525
2016-02-10,2565.7894736842104
2016-02-11,2552.6315789473683
2016-02-12,2539.4736842105262
2016-02-13,2526.315789473684
2016-02-14,2513.157894736842
2016-02-15,2500.0
2016-02-16,2633.3333333333335
2016-02-17,2766.6666666666665
2016-02-18,2900.0
2016-02-19,2907.1428571428573
2016-02-20,2914.285714285714
2016-02-21,2921.4285714285716
2016-02-22,2928.5714285714284
2016-02-23,2935.714285714286
2016-02-24,2942.8571428571427
2016-02-25,2950.0
2016-02-26,2957.1428571428573
2016-02-27,2964.285714285714
2016-02-28,2971.4285714285716
2016-02-29,2978.5714285714284
2016-03-01,2985.714285714286
2016-03-02,2992.8571428571427
2016-03-03,3000.0
2016-03-04,3272.727272727273
2016-03-05,3545.4545454545455
2016-03-06,3818.181818181818
2016-03-07,4090.909090909091
2016-03-08,4363.636363636364
2016-03-09,4636.363636363636
2016-03-10,4909.090909090909
2016-03-11,5181.818181818182
2016-03-12,5454.545454545455
2016-03-13,5727.272727272728
2016-03-14,6000.0
2016-03-15,5764.705882352941
2016-03-16,5529.411764705882
2016-03-17,5294.117647058823
2016-03-18,5058.823529411765
2016-03-19,4823.529411764706
2016-03-20,4588.235294117647
2016-03-21,4352.941176470588
2016-03-22,4117.64705882353
2016-03-23,3882.3529411764707
2016-03-24,3647.0588235294117
2016-03-25,3411.764705882353
2016-03-26,3176.470588235294
2016-03-27,2941.1764705882356
2016-03-28,2705.8823529411766
2016-03-29,2470.588235294118
2016-03-30,2235.294117647059
2016-03-31,2000.0
2016-04-01,2026.3157894736842
2016-04-02,2052.6315789473683
2016-04-03,2078.9473684210525
2016-04-04,2105.2631578947367
2016-04-05,2131.578947368421
2016-04-06,2157.8947368421054
2016-04-07,2184.2105263157896
2016-04-08,2210.5263157894738
2016-04-09,2236.842105263158
2016-04-10,2263.157894736842
2016-04-11,2289.4736842105262
2016-04-12,2315.7894736842104
2016-04-13,2342.1052631578946
2016-04-14,2368.4210526315787
2016-04-15,2394.7368421052633
2016-04-16,2421.0526315789475
2016-04-17,2447.3684210526317
2016-04-18,2473.684210526316
2016-04-19,2500.0
2016-04-20,2500.0
2016-04-21,2500.0
2016-04-22,2500.0
2016-04-23,2500.0
2016-04-24,2500.0
2016-04-25,2500.0
2016-04-26,2500.0
2016-04-27,2500.0
2016-04-28,2500.0
2016-04-29,2500.0
2016-04-30,2500.0
2016-05-01,2500.0
2016-05-02,2500.0
2016-05-03,2500.0
2016-05-04,2500.0
2016-05-05,2500.0
2016-05-06,2500.0
2016-05-07,2500.0
2016-05-08,2500.0
2016-05-09,2500.0
2016-05-10,2550.0
2016-05-11,2600.0
2016-05-12,2650.0
2016-05-13,2700.0
2016-05-14,2750.0
2016-05-15,2800.0
2016-05-16,2850.0
2016-05-17,2900.0
2016-05-18,2950.0
2016-05-19,3000.0
2016-05-20,3000.0
2016-05-21,3000.0
2016-05-22,3000.0
2016-05-23,3000.0
2016-05-24,3000.0
2016-05-25,2600.0
2016-05-26,2800.0
2016-05-27,3000.0
2016-05-28,3000.0
2016-05-29,3000.0
2016-05-30,3000.0
2016-05-31,3000.0
2016-06-01,3500.0
2016-06-02,6000.0
2016-06-03,8500.0
2016-06-04,3000.0
2016-06-05,3000.0
2016-06-06,3000.0
2016-06-07,3000.0
2016-06-08,3250.0
2016-06-09,3500.0
2016-06-10,3500.0
2016-06-11,3500.0
2016-06-12,3250.0
2016-06-13,3000.0
2016-06-14,3125.0
2016-06-15,3250.0
2016-06-16,3375.0
2016-06-17,3500.0
2016-06-18,3500.0
2016-06-19,3500.0
2016-06-20,3500.0
2016-06-21,3500.0
2016-06-22,3500.0
2016-06-23,3500.0
2016-06-24,3500.0
2016-06-25,3666.6666666666665
2016-06-26,3833.3333333333335
2016-06-27,4000.0
2016-06-28,3800.0
2016-06-29,3650.0
2016-06-30,3500.0
2016-07-01,3500.0
2016-07-02,3500.0
2016-07-03,3500.0
2016-07-04,3500.0
2016-07-05,3500.0
2016-07-06,3333.3333333333335
2016-07-07,3166.6666666666665
2016-07-08,3000.0
2016-07-09,3125.0
2016-07-10,3250.0
2016-07-11,3375.0
2016-07-12,3500.0
2016-07-13,3500.0
2016-07-14,3500.0
2016-07-15,3250.0
2016-07-16,3000.0
2016-07-17,3166.6666666666665
2016-07-18,3333.3333333333335
2016-07-19,3500.0
2016-07-20,3533.3333333333335
2016-07-21,3566.6666666666665
2016-07-22,3600.0
2016-07-23,3400.0
2016-07-24,4950.0
2016-07-25,6500.0
2016-07-26,3500.0
2016-07-27,3250.0
2016-07-28,3000.0
2016-07-29,3250.0
2016-07-30,3500.0
2016-07-31,3500.0
2016-08-01,3500.0
2016-08-02,3500.0
2016-08-03,3500.0
2016-08-04,3500.0
2016-08-05,3500.0
2016-08-06,4000.0
2016-08-07,3666.6666666666665
2016-08-08,3333.3333333333335
2016-08-09,3000.0
2016-08-10,3000.0
2016-08-11,3000.0
2016-08-12,3000.0
2016-08-13,3000.0
2016-08-14,3000.0
2016-08-15,3000.0
2016-08-16,3000.0
2016-08-17,3000.0
2016-08-18,3000.0
2016-08-19,3000.0
2016-08-20,3000.0
2016-08-21,3000.0
2016-08-22,3000.0
2016-08-23,3000.0
2016-08-24,3000.0
2016-08-25,2750.0
2016-08-26,2500.0
2016-08-27,2700.0
2016-08-28,2900.0
2016-08-29,3100.0
2016-08-30,3300.0
2016-08-31,3500.0
2016-09-01,3250.0
2016-09-02,3000.0
2016-09-03,3000.0
2016-09-04,3000.0
2016-09-05,3000.0
2016-09-06,3000.0
2016-09-07,3000.0
2016-09-08,3000.0
2016-09-09,3000.0
2016-09-10,3000.0
2016-09-11,3000.0
2016-09-12,3000.0
2016-09-13,3000.0
2016-09-14,3000.0
2016-09-15,3000.0
2016-09-16,3000.0
2016-09-17,3000.0
2016-09-18,3000.0
2016-09-19,3000.0
2016-09-20,3000.0
2016-09-21,3000.0
2016-09-22,2750.0
2016-09-23,2500.0
2016-09-24,2600.0
2016-09-25,2700.0
2016-09-26,2800.0
2016-09-27,2900.0
2016-09-28,3000.0
2016-09-29,3000.0
2016-09-30,3000.0
2016-10-01,3000.0
2016-10-02,2833.3333333333335
2016-10-03,2666.6666666666665
2016-10-04,2500.0
2016-10-05,2666.6666666666665
2016-10-06,2833.3333333333335
2016-10-07,3000.0
2016-10-08,3000.0
2016-10-09,3000.0
2016-10-10,3000.0
2016-10-11,3000.0
2016-10-12,3000.0
2016-10-13,3000.0
2016-10-14,3000.0
2016-10-15,3000.0
2016-10-16,3000.0
2016-10-17,3000.0
2016-10-18,3000.0
2016-10-19,3000.0
2016-10-20,3000.0
2016-10-21,3000.0
2016-10-22,3000.0
2016-10-23,3000.0
2016-10-24,3000.0
2016-10-25,3000.0
2016-10-26,3000.0
2016-10-27,3000.0
2016-10-28,3000.0
2016-10-29,3000.0
2016-10-30,2971.4285714285716
2016-10-31,2942.8571428571427
2016-11-01,2914.285714285714
2016-11-02,2885.714285714286
2016-11-03,2857.1428571428573
2016-11-04,2828.5714285714284
2016-11-05,2800.0
2016-11-06,2700.0
2016-11-07,2600.0
2016-11-08,2500.0
2016-11-09,2500.0
2016-11-10,2500.0
