Price Date,Modal Price (Rs./Quintal)
2004-12-29,1450.0
2004-12-30,1375.4545454545455
2004-12-31,1300.909090909091
2005-01-01,1226.3636363636365
2005-01-02,1151.8181818181818
2005-01-03,1077.2727272727273
2005-01-04,1002.7272727272727
2005-01-05,928.1818181818181
2005-01-06,853.6363636363636
2005-01-07,779.0909090909091
2005-01-08,704.5454545454545
2005-01-09,630.0
2005-01-10,630.0
2005-01-11,661.6666666666666
2005-01-12,693.3333333333334
2005-01-13,725.0
2005-01-14,868.75
2005-01-15,1012.5
2005-01-16,1156.25
2005-01-17,1300.0
2005-01-18,1300.0
2005-01-19,1300.0
2005-01-20,1300.0
2005-01-21,1200.0
2005-01-22,1200.0
2005-01-23,1300.0
2005-01-24,1300.0
2005-01-25,1300.0
2005-01-26,1300.0
2005-01-27,1300.0
2005-01-28,1300.0
2005-01-29,1400.0
2005-01-30,1400.0
2005-01-31,1400.0
2005-02-01,1400.0
2005-02-02,1200.0
2005-02-03,1300.0
2005-02-04,1400.0
2005-02-05,1333.3333333333333
2005-02-06,1266.6666666666667
2005-02-07,1200.0
2005-02-08,1225.0
2005-02-09,1250.0
2005-02-10,1275.0
2005-02-11,1300.0
2005-02-12,1200.0
2005-02-13,1300.0
2005-02-14,1325.0
2005-02-15,1350.0
2005-02-16,1375.0
2005-02-17,1400.0
2005-02-18,1333.3333333333333
2005-02-19,1266.6666666666667
2005-02-20,1200.0
2005-02-21,1216.6666666666667
2005-02-22,1233.3333333333333
2005-02-23,1250.0
2005-02-24,1250.0
2005-02-25,1240.0
2005-02-26,1230.0
2005-02-27,1220.0
2005-02-28,1210.0
2005-03-01,1200.0
2005-03-02,1100.0
2005-03-03,1140.0
2005-03-04,1180.0
2005-03-05,1220.0
2005-03-06,1260.0
2005-03-07,1300.0
2005-03-08,1200.0
2005-03-09,1200.0
2005-03-10,1200.0
2005-03-11,1225.0
2005-03-12,1250.0
2005-03-13,1200.0
2005-03-14,1200.0
2005-03-15,1200.0
2005-03-16,1200.0
2005-03-17,1350.0
2005-03-18,1500.0
2005-03-19,1400.0
2005-03-20,1200.0
2005-03-21,1400.0
2005-03-22,1300.0
2005-03-23,1400.0
2005-03-24,1400.0
2005-03-25,1400.0
2005-03-26,1000.0
2005-03-27,1200.0
2005-03-28,1200.0
2005-03-29,1300.0
2005-03-30,1200.0
2005-03-31,1300.0
2005-04-01,1400.0
2005-04-02,1300.0
2005-04-03,1200.0
2005-04-04,1266.6666666666667
2005-04-05,1333.3333333333333
2005-04-06,1400.0
2005-04-07,1350.0
2005-04-08,1300.0
2005-04-09,1300.0
2005-04-10,1300.0
2005-04-11,1283.3333333333333
2005-04-12,1266.6666666666667
2005-04-13,1250.0
2005-04-14,1233.3333333333333
2005-04-15,1216.6666666666667
2005-04-16,1200.0
2005-04-17,1200.0
2005-04-18,1200.0
2005-04-19,1300.0
2005-04-20,1250.0
2005-04-21,1200.0
2005-04-22,1500.0
2005-04-23,1466.6666666666667
2005-04-24,1433.3333333333333
2005-04-25,1400.0
2005-04-26,1200.0
2005-04-27,1200.0
2005-04-28,1400.0
2005-04-29,1400.0
2005-04-30,1400.0
2005-05-01,1400.0
2005-05-02,1400.0
2005-05-03,1400.0
2005-05-04,1400.0
2005-05-05,1400.0
2005-05-06,1400.0
2005-05-07,1400.0
2005-05-08,1300.0
2005-05-09,1400.0
2005-05-10,1500.0
2005-05-11,1433.3333333333333
2005-05-12,1366.6666666666667
2005-05-13,1300.0
2005-05-14,1400.0
