Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1815,1815,1815,27 Dec 2021
1815,1815,1815,22 Dec 2021
1815,1815,1815,20 Dec 2021
1815,1815,1815,17 Dec 2021
1815,1815,1815,15 Dec 2021
1815,1815,1815,13 Dec 2021
1815,1815,1815,10 Dec 2021
1815,1815,1815,08 Dec 2021
1815,1815,1815,06 Dec 2021
1815,1815,1815,01 Dec 2021
1815,1815,1815,26 Nov 2021
1815,1815,1815,22 Nov 2021
1815,1815,1815,17 Nov 2021
1815,1815,1815,15 Nov 2021
1815,1815,1815,12 Nov 2021
1835,1835,1835,10 Nov 2021
1815,1815,1815,08 Nov 2021
1815,1815,1815,03 Nov 2021
1815,1815,1815,01 Nov 2021
1815,1815,1815,29 Oct 2021
1815,1815,1815,28 Oct 2021
1820,1820,1820,26 Oct 2021
1815,1815,1815,22 Oct 2021
2180,3350,2350,21 Mar 2020
2200,3700,2250,20 Mar 2020
2250,3870,2750,19 Mar 2020
2140,3550,2750,18 Mar 2020
2240,3650,2950,17 Mar 2020
2200,3750,3120,16 Mar 2020
2200,3850,3050,13 Mar 2020
2250,3950,3100,12 Mar 2020
2300,4050,3150,11 Mar 2020
2370,4150,3100,09 Mar 2020
2300,4150,2900,06 Mar 2020
2380,4200,3150,05 Mar 2020
2400,4450,3150,04 Mar 2020
2450,4500,3200,03 Mar 2020
2300,3650,2550,02 Mar 2020
2380,3750,2600,28 Feb 2020
2400,3850,2850,27 Feb 2020
2480,3950,2950,26 Feb 2020
2300,3500,2650,25 Feb 2020
2360,3450,2700,24 Feb 2020
2400,3500,2850,22 Feb 2020
2340,3400,2750,21 Feb 2020
2300,3340,2850,20 Feb 2020
2250,3400,2900,19 Feb 2020
2150,3200,2850,18 Feb 2020
2100,3650,2400,17 Feb 2020
2200,3950,2300,15 Feb 2020
1870,3800,2450,12 Feb 2020
1950,3940,2650,11 Feb 2020
2100,4020,2850,10 Feb 2020
2150,4150,3200,07 Feb 2020
1800,2850,2100,06 Feb 2020
1850,2950,2140,05 Feb 2020
1940,3250,2200,04 Feb 2020
2100,3420,2250,03 Feb 2020
2150,3300,2300,01 Feb 2020
2050,3200,2300,31 Jan 2020
1920,2850,2350,30 Jan 2020
1900,2950,2240,29 Jan 2020
1875,3000,2350,28 Jan 2020
1950,3100,2250,27 Jan 2020
1880,3300,2100,24 Jan 2020
1850,3250,2100,23 Jan 2020
1950,2950,2300,22 Jan 2020
1900,3200,2150,21 Jan 2020
1950,3200,2200,20 Jan 2020
1850,3050,2200,16 Jan 2020
1900,3200,2250,15 Jan 2020
1950,3150,2100,14 Jan 2020
1900,3100,2150,13 Jan 2020
1900,3450,2250,10 Jan 2020
