Unnamed: 0,Date,Centre_Name,Price
12,01-01-09,MUMBAI,1625.0
39,02-01-09,MUMBAI,
66,05-01-09,MUMBAI,
93,06-01-09,MUMBAI,
120,07-01-09,MUMBAI,
147,09-01-09,MUMBAI,
174,12-01-09,MUMBAI,
201,13-01-09,MUMBAI,
228,14-01-09,MUMBAI,
255,15-01-09,MUMBAI,
282,16-01-09,MUMBAI,
309,19-01-09,MUMBAI,
336,20-01-09,MUMBAI,
363,21-01-09,MUMBAI,
390,22-01-09,MUMBAI,
417,23-01-09,MUMBAI,
444,27-01-09,MUMBAI,
471,28-01-09,MUMBAI,
498,29-01-09,MUMBAI,
525,30-01-09,MUMBAI,
552,02-02-09,MUMBAI,
579,03-02-09,MUMBAI,
606,04-02-09,MUMBAI,
633,05-02-09,MUMBAI,
660,06-02-09,MUMBAI,
687,09-02-09,MUMBAI,
714,10-02-09,MUMBAI,
741,11-02-09,MUMBAI,
768,12-02-09,MUMBAI,
795,13-02-09,MUMBAI,
822,16-02-09,MUMBAI,
849,17-02-09,MUMBAI,
876,18-02-09,MUMBAI,
903,19-02-09,MUMBAI,
930,20-02-09,MUMBAI,
957,23-02-09,MUMBAI,
984,24-02-09,MUMBAI,
1011,25-02-09,MUMBAI,
1038,26-02-09,MUMBAI,
1065,27-02-09,MUMBAI,
1092,02-03-09,MUMBAI,
1119,03-03-09,MUMBAI,
1146,04-03-09,MUMBAI,
1173,05-03-09,MUMBAI,
1200,06-03-09,MUMBAI,
1227,09-03-09,MUMBAI,1625.0
1254,12-03-09,MUMBAI,
1281,13-03-09,MUMBAI,
1308,16-03-09,MUMBAI,
1335,17-03-09,MUMBAI,
1362,18-03-09,MUMBAI,1625.0
1389,19-03-09,MUMBAI,
1416,20-03-09,MUMBAI,
1443,23-03-09,MUMBAI,
1470,24-03-09,MUMBAI,
1497,25-03-09,MUMBAI,1625.0
1524,26-03-09,MUMBAI,
1551,27-03-09,MUMBAI,
1578,30-03-09,MUMBAI,
1605,31-03-09,MUMBAI,
1632,01-04-09,MUMBAI,1600.0
1659,02-04-09,MUMBAI,
1686,06-04-09,MUMBAI,
1713,08-04-09,MUMBAI,1600.0
1740,09-04-09,MUMBAI,
1767,13-04-09,MUMBAI,
1794,15-04-09,MUMBAI,
1821,16-04-09,MUMBAI,
1848,17-04-09,MUMBAI,
1875,20-04-09,MUMBAI,
1902,21-04-09,MUMBAI,
1929,22-04-09,MUMBAI,
1956,23-04-09,MUMBAI,
1983,24-04-09,MUMBAI,
2010,27-04-09,MUMBAI,
2037,28-04-09,MUMBAI,
2064,29-04-09,MUMBAI,
2091,30-04-09,MUMBAI,
2118,01-05-09,MUMBAI,
2145,04-05-09,MUMBAI,
2172,05-05-09,MUMBAI,
2199,06-05-09,MUMBAI,
2226,08-05-09,MUMBAI,
2253,11-05-09,MUMBAI,
2280,12-05-09,MUMBAI,
2307,13-05-09,MUMBAI,1600.0
2334,14-05-09,MUMBAI,
2361,15-05-09,MUMBAI,
2388,18-05-09,MUMBAI,
2415,19-05-09,MUMBAI,
2442,20-05-09,MUMBAI,1600.0
2469,21-05-09,MUMBAI,
2496,22-05-09,MUMBAI,
2523,25-05-09,MUMBAI,
2550,26-05-09,MUMBAI,
2577,27-05-09,MUMBAI,
2604,28-05-09,MUMBAI,
2631,29-05-09,MUMBAI,
2658,01-06-09,MUMBAI,
2685,02-06-09,MUMBAI,
2712,03-06-09,MUMBAI,1625.0
2739,04-06-09,MUMBAI,
2766,05-06-09,MUMBAI,
2793,08-06-09,MUMBAI,
2820,09-06-09,MUMBAI,
2847,10-06-09,MUMBAI,1600.0
2874,11-06-09,MUMBAI,
2901,12-06-09,MUMBAI,
2928,15-06-09,MUMBAI,
2955,16-06-09,MUMBAI,
2982,17-06-09,MUMBAI,1625.0
3009,18-06-09,MUMBAI,
3036,19-06-09,MUMBAI,
3063,22-06-09,MUMBAI,
3090,23-06-09,MUMBAI,
3117,24-06-09,MUMBAI,1600.0
3144,25-06-09,MUMBAI,
3171,26-06-09,MUMBAI,
3198,29-06-09,MUMBAI,
3225,30-06-09,MUMBAI,
3252,01-07-09,MUMBAI,1575.0
3279,02-07-09,MUMBAI,
3306,03-07-09,MUMBAI,
3333,06-07-09,MUMBAI,
3360,07-07-09,MUMBAI,
3387,08-07-09,MUMBAI,
3414,09-07-09,MUMBAI,
3441,10-07-09,MUMBAI,
3468,13-07-09,MUMBAI,
3495,14-07-09,MUMBAI,
3522,15-07-09,MUMBAI,
3549,16-07-09,MUMBAI,
3576,17-07-09,MUMBAI,
3603,20-07-09,MUMBAI,
3630,21-07-09,MUMBAI,
3657,22-07-09,MUMBAI,
3684,23-07-09,MUMBAI,
3711,24-07-09,MUMBAI,
3738,27-07-09,MUMBAI,
3765,28-07-09,MUMBAI,
3792,29-07-09,MUMBAI,
3819,30-07-09,MUMBAI,
3846,31-07-09,MUMBAI,
3873,03-08-09,MUMBAI,
3900,04-08-09,MUMBAI,
3927,05-08-09,MUMBAI,
3954,06-08-09,MUMBAI,
3981,07-08-09,MUMBAI,
4008,10-08-09,MUMBAI,
4035,11-08-09,MUMBAI,
4062,12-08-09,MUMBAI,
4089,13-08-09,MUMBAI,
4116,17-08-09,MUMBAI,
4143,18-08-09,MUMBAI,
4170,19-08-09,MUMBAI,
4197,20-08-09,MUMBAI,
4224,21-08-09,MUMBAI,
