Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3050,3050,3050,04 Mar 2024
4725,4725,4725,03 Mar 2024
4125,4125,4125,02 Mar 2024
4274,4274,4274,01 Mar 2024
4601,4601,4601,29 Feb 2024
4413,4413,4413,28 Feb 2024
4125,5250,4540,27 Feb 2024
6051,6051,6051,25 Feb 2024
4401,4401,4401,24 Feb 2024
4125,4125,4125,23 Feb 2024
3585,3585,3585,22 Feb 2024
3535,3535,3535,21 Feb 2024
3710,3710,3710,20 Feb 2024
4801,4801,4801,19 Feb 2024
3775,3775,3775,17 Feb 2024
4035,4035,4035,16 Feb 2024
4413,4413,4413,15 Feb 2024
4575,4575,4575,14 Feb 2024
4350,4350,4350,13 Feb 2024
4825,4825,4825,12 Feb 2024
3313,3313,3313,11 Feb 2024
3906,5701,4413,10 Feb 2024
3560,3560,3560,09 Feb 2024
4601,4601,4601,08 Feb 2024
3775,3775,3775,07 Feb 2024
3845,5250,4225,06 Feb 2024
4900,4900,4900,05 Feb 2024
4035,4035,4035,04 Feb 2024
4801,4801,4801,03 Feb 2024
4850,4850,4850,02 Feb 2024
4605,4605,4605,01 Feb 2024
3585,3585,3585,31 Jan 2024
4605,4605,4605,30 Jan 2024
4005,4005,4005,29 Jan 2024
5650,5650,5650,28 Jan 2024
5250,5250,5250,27 Jan 2024
4080,4080,4080,26 Jan 2024
4545,4545,4545,25 Jan 2024
4250,4250,4250,24 Jan 2024
4400,4400,4400,23 Jan 2024
3906,3906,3906,22 Jan 2024
3775,3775,3775,21 Jan 2024
4120,4120,4120,20 Jan 2024
4250,4250,4250,19 Jan 2024
4080,4080,4080,18 Jan 2024
3605,3605,3605,17 Jan 2024
4215,4215,4215,15 Jan 2024
3900,3900,3900,14 Jan 2024
4305,4305,4305,13 Jan 2024
4413,4413,4413,12 Jan 2024
4275,4275,4275,11 Jan 2024
4035,4035,4035,10 Jan 2024
4550,4550,4550,09 Jan 2024
5501,5501,5501,08 Jan 2024
5900,5900,5900,07 Jan 2024
3870,3870,3870,06 Jan 2024
3592,3592,3592,05 Jan 2024
3575,3575,3575,04 Jan 2024
3900,3900,3900,03 Jan 2024
4035,4035,4035,02 Jan 2024
4250,4250,4250,01 Jan 2024
3885,3885,3885,31 Dec 2023
