Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4000,5000,4500,01 Mar 2024
3500,5500,4500,29 Feb 2024
3500,5500,4500,28 Feb 2024
3000,5000,4000,27 Feb 2024
3000,6000,4500,22 Feb 2024
4000,5000,4500,21 Feb 2024
4000,5000,4500,20 Feb 2024
4000,5000,4500,16 Feb 2024
3000,5000,4000,15 Feb 2024
3500,5500,4500,14 Feb 2024
4000,5000,4500,13 Feb 2024
3000,5000,4000,12 Feb 2024
3500,5500,4500,11 Feb 2024
3000,4000,3500,10 Feb 2024
3000,5000,4000,09 Feb 2024
3500,5000,4500,07 Feb 2024
3500,5500,4500,06 Feb 2024
3000,5000,4000,05 Feb 2024
3500,4500,4000,04 Feb 2024
3000,5000,4000,03 Feb 2024
3000,5000,4000,19 Jan 2024
3500,4500,4000,18 Jan 2024
3000,4000,3500,16 Jan 2024
4000,5000,4500,15 Jan 2024
3000,5000,4000,14 Jan 2024
3000,4000,3500,13 Jan 2024
3500,4500,4000,11 Jan 2024
3000,5000,4000,10 Jan 2024
3500,4500,4000,09 Jan 2024
3000,5000,4000,08 Jan 2024
3000,5000,4000,05 Jan 2024
3000,5000,4000,04 Jan 2024
3000,5000,4000,03 Jan 2024
3000,5000,4000,02 Jan 2024
3000,5000,4000,01 Jan 2024
3000,4000,3500,31 Dec 2023
3500,4500,4000,30 Dec 2023
3000,4000,3500,26 Dec 2023
3000,5000,4000,25 Dec 2023
3000,5000,4000,19 Dec 2023
3000,4000,3500,18 Dec 2023
3500,4500,4000,17 Dec 2023
3000,5000,4000,16 Dec 2023
3500,4500,4000,15 Dec 2023
3000,5000,4000,14 Dec 2023
3000,4000,3500,11 Dec 2023
3500,4500,4000,10 Dec 2023
3000,5000,4000,09 Dec 2023
3000,4000,3500,08 Dec 2023
3000,5000,4000,05 Dec 2023
3500,4500,4000,04 Dec 2023
3000,4000,3500,28 Nov 2023
3500,4500,4000,27 Nov 2023
3500,4500,4000,23 Nov 2023
3000,5000,4000,21 Nov 2023
3000,5000,4000,20 Nov 2023
3500,4500,4000,19 Nov 2023
3000,5000,4000,18 Nov 2023
3000,5000,4000,17 Nov 2023
3500,4500,4000,16 Nov 2023
3500,4500,4000,15 Nov 2023
3500,4500,4000,10 Nov 2023
3000,5000,4000,09 Nov 2023
3000,4000,3500,06 Nov 2023
3500,4500,4000,02 Nov 2023
3000,5000,4000,01 Nov 2023
3000,5000,4000,31 Oct 2023
3000,5000,4000,30 Oct 2023
3500,4500,4000,29 Oct 2023
3500,4500,4000,28 Oct 2023
3500,4500,4000,27 Oct 2023
3000,5000,4000,26 Oct 2023
3000,5000,4000,25 Oct 2023
3000,4000,3500,23 Oct 2023
3500,4500,4000,22 Oct 2023
3500,4500,4000,21 Oct 2023
3000,5000,4000,20 Oct 2023
3500,4500,4000,19 Oct 2023
3000,5000,4000,17 Oct 2023
3000,5000,4000,16 Oct 2023
3000,5000,4000,15 Oct 2023
3500,4500,4000,14 Oct 2023
