Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2860,4790,3850,22 Feb 2024
2960,4790,3450,21 Feb 2024
2980,4650,3425,19 Feb 2024
2980,4850,3860,16 Feb 2024
3350,4950,3790,14 Feb 2024
3150,4850,3540,13 Feb 2024
3250,4650,3760,12 Feb 2024
3250,4860,3950,11 Feb 2024
3150,4790,3850,10 Feb 2024
3150,4850,3860,09 Feb 2024
2980,4850,3860,07 Feb 2024
3150,4760,3860,06 Feb 2024
3350,4850,3965,05 Feb 2024
3250,4850,3860,01 Feb 2024
2950,4100,3860,30 Jan 2024
3350,4760,3860,29 Jan 2024
2950,4850,3860,24 Jan 2024
3150,4850,3460,23 Jan 2024
2950,4100,3460,20 Jan 2024
2860,4850,3860,17 Jan 2024
3150,4850,3860,16 Jan 2024
2980,4850,3860,15 Jan 2024
3250,4850,3860,14 Jan 2024
2980,4960,3860,12 Jan 2024
3150,4100,3460,11 Jan 2024
3250,4850,3860,10 Jan 2024
3150,4100,3460,08 Jan 2024
2795,3960,3350,04 Jan 2024
3150,4850,3790,03 Jan 2024
3150,4850,3860,01 Jan 2024
3260,4750,3990,30 Dec 2023
3050,4750,3590,28 Dec 2023
3220,4960,3850,27 Dec 2023
3250,4920,3860,25 Dec 2023
3160,4950,3990,22 Dec 2023
3050,4870,3460,21 Dec 2023
3250,4850,3860,20 Dec 2023
2980,4960,3860,19 Dec 2023
3220,4960,3860,18 Dec 2023
2980,4920,3860,16 Dec 2023
3160,4950,3590,14 Dec 2023
3150,4920,3860,13 Dec 2023
2980,4920,3860,12 Dec 2023
2860,4850,3790,11 Dec 2023
3150,4850,3425,08 Dec 2023
3250,4850,3790,06 Dec 2023
3260,4650,3860,04 Dec 2023
3260,4870,3850,02 Dec 2023
3050,4750,3460,30 Nov 2023
3220,4650,3850,29 Nov 2023
3250,4850,3860,28 Nov 2023
3160,4870,3990,24 Nov 2023
3260,4960,3590,23 Nov 2023
3160,4870,3990,21 Nov 2023
2790,4950,3460,20 Nov 2023
3260,4750,3990,18 Nov 2023
3220,4650,3850,17 Nov 2023
3250,4850,3860,16 Nov 2023
3250,4850,3790,13 Nov 2023
2795,3890,3350,10 Nov 2023
3250,4920,3790,09 Nov 2023
2860,4850,3790,08 Nov 2023
3150,4760,3860,07 Nov 2023
3250,4850,3790,06 Nov 2023
3260,4870,3590,04 Nov 2023
2980,4920,3860,02 Nov 2023
3260,4960,3850,01 Nov 2023
2860,4850,3790,31 Oct 2023
3220,4650,3990,30 Oct 2023
2980,4920,3860,27 Oct 2023
3250,4850,3790,26 Oct 2023
2790,4950,3460,25 Oct 2023
2795,4920,3860,22 Oct 2023
3260,4870,3460,21 Oct 2023
3160,4960,3590,19 Oct 2023
2860,4850,3790,18 Oct 2023
3590,4750,3850,17 Oct 2023
3260,4650,3590,13 Oct 2023
2860,4850,3790,11 Oct 2023
3250,4850,3790,09 Oct 2023
2860,4920,3860,06 Oct 2023
3160,4950,3590,05 Oct 2023
